gene,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,
Smp-011570,Smp_011570,2.01E-53,0.503697481,0.998,0.962,2.04E-49,S1,40S ribosomal protein S4
Smp-210630,Smp_210630,2.16E-53,0.600562109,0.993,0.915,2.19E-49,S1,Histone H2A.V
Smp-082490,Smp_082490,4.31E-53,0.640786834,0.962,0.54,4.37E-49,S1,G2/mitotic-specific cyclin-B2
Smp-179180,Smp_179180,1.98E-52,0.512253219,0.996,0.904,2.01E-48,S1,40S ribosomal protein SA
Smp-176260,Smp_176260,1.05E-51,0.684885871,0.971,0.597,1.06E-47,S1,Geminin
Smp-034700,Smp_034700,1.25E-51,0.586100959,0.985,0.85,1.27E-47,S1,"Protein SCO1 homolog, mitochondrial"
Smp-042140,Smp_042140,2.37E-51,0.621047224,0.993,0.822,2.41E-47,S1,tegument-allergen-like protein (TAL7)
Smp-079240,Smp_079240,2.99E-51,0.586905358,0.981,0.785,3.04E-47,S1,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
Smp-243210,Smp_243210,7.75E-51,0.562453583,0.877,0.576,7.87E-47,S1,Caspase-7
Smp-344880,Smp_344880,1.19E-50,0.612199562,0.925,0.717,1.21E-46,S1,Serine-protein kinase ATM
Smp-302800,Smp_302800,1.27E-50,0.554952999,0.973,0.79,1.29E-46,S1,"Tyrosine--tRNA ligase, cytoplasmic"
Smp-154080,Smp_154080,4.67E-50,0.628234925,0.975,0.748,4.75E-46,S1,MICOS complex subunit mic60
Smp-060910,Smp_060910,1.03E-49,0.514856043,0.994,0.925,1.05E-45,S1,Small nuclear ribonucleoprotein F
Smp-162370,Smp_162370,1.14E-49,0.667181187,0.947,0.621,1.16E-45,S1,"Histone H1, early embryonic"
Smp-016990,Smp_016990,2.70E-49,0.618960785,0.995,0.88,2.74E-45,S1,Methylosome subunit pICln
Smp-004600,Smp_004600,3.13E-49,0.522627389,0.994,0.904,3.17E-45,S1,T-complex protein 1 subunit delta
Smp-084620,Smp_084620,1.58E-48,0.555907519,0.991,0.834,1.61E-44,S1,Activated RNA polymerase II transcriptional coactivator p15
Smp-018290,Smp_018290,1.74E-48,0.575542185,0.947,0.596,1.77E-44,S1,Serine/threonine-protein kinase 17A
Smp-003770,Smp_003770,2.25E-48,0.585069423,1,0.991,2.29E-44,S1,histone H1
Smp-204160,Smp_204160,2.57E-48,0.531881369,0.898,0.595,2.61E-44,S1,Aspartate--ammonia ligase
Smp-150690,Smp_150690,2.19E-46,0.508420829,0.986,0.857,2.22E-42,S1,Proliferation-associated protein 2G4
Smp-137390,Smp_137390,2.51E-46,0.534019852,0.942,0.618,2.55E-42,S1,Histone RNA hairpin-binding protein
Smp-164040,Smp_164040,2.85E-45,0.524396731,0.919,0.542,2.89E-41,S1,Tegument protein UL46 homolog
Smp-018930,Smp_018930,3.83E-45,0.532738825,0.948,0.697,3.89E-41,S1,Titin
Smp-099300,Smp_099300,7.70E-45,0.550044027,0.965,0.767,7.82E-41,S1,"28S ribosomal protein S10, mitochondrial"
Smp-248170,Smp_248170,1.76E-44,0.614604838,0.977,0.768,1.79E-40,S1,Nucleolar protein 58
Smp-048660,Smp_048660,5.62E-44,0.58731705,0.98,0.777,5.71E-40,S1,Nucleolar protein 56
Smp-129410,Smp_129410,1.85E-42,0.575223084,0.971,0.618,1.88E-38,S1,Protein GRIP
Smp-044280,Smp_044280,2.27E-40,0.52511263,0.944,0.695,2.30E-36,S1,Probable mediator of RNA polymerase II transcription subunit 36b
Smp-074390,Smp_074390,4.63E-39,0.564116416,0.981,0.743,4.70E-35,S1,Eukaryotic translation initiation factor 4E-binding protein 1
Smp-046090,Smp_046090,4.82E-39,0.593369875,0.973,0.748,4.90E-35,S1,T-complex protein 1 subunit theta
Smp-245030,Smp_245030,1.21E-36,0.522734085,0.94,0.625,1.23E-32,S1,Importin subunit alpha-1
Smp-072140,Smp_072140,2.80E-36,0.528197156,0.999,0.96,2.84E-32,S1,Rho2 GTPase
Smp-083730,Smp_083730,7.65E-100,1.037188545,0.997,0.862,7.77E-96,NeoProgeny,Hypothetical protein
Smp-040130,Smp_040130,1.49E-96,0.630523415,1,1,1.51E-92,NeoProgeny,cyclophilin (peptidyl-prolyl cis-trans isomerase)
Smp-124600,Smp_124600,6.84E-92,1.049877329,0.964,0.656,6.94E-88,NeoProgeny,Transcription factor kayak
Smp-152430,Smp_152430,4.41E-80,0.769803259,0.968,0.82,4.48E-76,NeoProgeny,Hypothetical protein
Smp-162550,Smp_162550,4.37E-76,1.134621236,0.969,0.784,4.44E-72,NeoProgeny,Protocadherin-1
Smp-049580,Smp_049580,2.77E-73,0.702545217,0.875,0.702,2.81E-69,NeoProgeny,Hypothetical protein
Smp-199050,Smp_199050,3.15E-69,1.049970465,0.992,0.865,3.20E-65,NeoProgeny,Replication protein E1
Smp-139530,Smp_139530,1.42E-68,0.93798418,0.951,0.675,1.44E-64,NeoProgeny,"cellular tumor antigen P53, putative"
Smp-045860,Smp_045860,1.15E-65,1.025466379,0.943,0.759,1.17E-61,NeoProgeny,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
Smp-171720,Smp_171720,4.16E-61,1.008531063,0.857,0.639,4.23E-57,NeoProgeny,Phospholipid phosphatase 2
Smp-008660,Smp_008660,1.68E-60,0.929349441,0.974,0.897,1.71E-56,NeoProgeny,Severin
Smp-165470,Smp_165470,1.22E-56,0.60334207,0.817,0.615,1.24E-52,NeoProgeny,Receptor tyrosine-protein kinase erbB-4
Smp-243960,Smp_243960,1.65E-56,0.88200454,0.976,0.794,1.67E-52,NeoProgeny,Signal-induced proliferation-associated 1-like protein 2
Smp-074080,Smp_074080,2.77E-56,0.742919781,0.964,0.853,2.81E-52,NeoProgeny,Serine/threonine-protein kinase NLK2
Smp-163950,Smp_163950,1.02E-55,0.833157378,0.963,0.8,1.04E-51,NeoProgeny,Hypothetical protein
Smp-331880,Smp_331880,5.12E-53,0.86122542,0.827,0.504,5.20E-49,NeoProgeny,"Neuroligin-4, X-linked"
Smp-095360,Smp_095360,2.04E-52,0.522334335,0.997,0.974,2.07E-48,NeoProgeny,14 kDa fatty acid-binding protein
Smp-344340,Smp_344340,9.00E-50,0.746490437,0.984,0.857,9.14E-46,NeoProgeny,Filamin A-interacting protein 1-like
Smp-034500,Smp_034500,9.06E-50,1.028496267,0.809,0.552,9.20E-46,NeoProgeny,Dual specificity protein phosphatase 10
Smp-141120,Smp_141120,9.72E-47,0.5245029,0.958,0.81,9.87E-43,NeoProgeny,Zinc finger protein 592
Smp-342620,Smp_342620,1.52E-45,0.908982783,0.963,0.844,1.55E-41,NeoProgeny,CUGBP Elav-like family member 5
Smp-030370,Smp_030370,2.19E-40,0.566642981,0.998,0.995,2.22E-36,NeoProgeny,calreticulin
Smp-159730,Smp_159730,2.86E-39,0.701047834,0.976,0.946,2.91E-35,NeoProgeny,Serine/threonine-protein kinase PAK 3
Smp-347830,Smp_347830,3.61E-39,0.63087808,0.939,0.885,3.67E-35,NeoProgeny,Lamin Dm0
Smp-139620,Smp_139620,4.49E-38,0.918500435,0.83,0.641,4.56E-34,NeoProgeny,MAGUK p55 subfamily member 4
Smp-147470,Smp_147470,3.67E-37,0.909969518,0.802,0.749,3.73E-33,NeoProgeny,SLIT and NTRK-like protein 2
Smp-072190,Smp_072190,2.01E-34,0.920710368,0.926,0.823,2.04E-30,NeoProgeny,Long neurotoxin 1
Smp-346630,Smp_346630,3.10E-33,0.577914342,0.86,0.647,3.15E-29,NeoProgeny,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1"
Smp-175510,Smp_175510,3.65E-33,0.894434403,0.86,0.709,3.71E-29,NeoProgeny,Hypothetical protein
Smp-017860,Smp_017860,2.09E-30,0.823955866,0.772,0.596,2.12E-26,NeoProgeny,Metallophosphoesterase 1 homolog
Smp-137110,Smp_137110,2.87E-29,0.543590662,0.852,0.697,2.91E-25,NeoProgeny,Atherin
Smp-129010,Smp_129010,1.54E-27,0.804597145,0.761,0.564,1.57E-23,NeoProgeny,Peroxidasin
